udp,866684927049,866707274480,20,0,true,
rmi,874990704052,875019571717,20,0,true,
udp,875410895505,875411441264,20,4,false,
rmi,883653283089,883668520007,20,0,false,
udp,884069638376,884090363439,20,8,true,
rmi,892311757850,892340676354,20,0,true,
udp,0,0,-1,-1,false,
rmi,900971641336,900988916726,20,0,false,
udp,0,0,-1,-1,true,
rmi,909631754563,909660730902,20,0,true,
udp,0,0,-1,-1,false,
rmi,918290153799,918312483507,20,0,false,
udp,918713418460,918761116159,200,62,true,
rmi,926955973874,927160920110,200,0,true,
udp,927551969638,927560138618,200,26,false,
rmi,935823604498,935992597140,200,0,false,
udp,936395912656,936443070764,200,62,true,
rmi,944637964540,944845184904,200,0,true,
udp,945240262351,945247140830,200,62,false,
rmi,953480069827,953640040159,200,0,false,
udp,954041136893,954087234121,200,62,true,
rmi,962289807182,962489477041,200,0,true,
udp,962881035600,962889923645,200,20,false,
rmi,971127035530,971300701070,200,0,false,
